"id","jobID","descript"
"500","214311","Proiectant inginer energetician"
"501","214312","Inginer retele electrice"
"502","214313","Subinginer retele electrice"
"503","214314","Inginer hidroenergetica"
"504","214315","Inginer centrale nuclearo-electrice"
"505","214316","Subinginer centrale termoelectrice"
"506","2144","Ingineri electronisti in transporturi, posta si telecomunicatii"
"507","214401","Inginer electromecanic SCB"
"508","214402","Inginer automatist"
"509","214403","Inginer emisie"
"510","214404","Inginer montaj"
"511","214405","Inginer navigatie"
"512","214406","Inginer electronist, transporturi, telecomunicatii"
"513","214407","Inginer electrotehnist"
"514","214408","Inginer imagine"
"515","214409","Inginer productie"
"516","214410","Inginer sunet"
"517","214411","Instructor instalatii"
"518","214412","Instructor linii"
"519","214413","Revizor siguranta circulatiei feroviare"
"520","214414","Subinginer automatist"
"521","214415","Subinginer electronist, transporturi, telecomunicatii"
"522","214416","Subinginer reglaje subansamble"
"523","214417","Inginer de receptie si control aeronave"
"524","214418","Proiectant inginer electronist"
"525","214419","Proiectant inginer de sisteme si calculatoare"
"526","214420","Proiectant inginer electromecanic"
"527","214421","Inginer electromecanic"
"528","214422","Subinginer electromecanic"
"529","214423","Ofiter de punte maritim (studii superioare)"
"530","214424","Ofiter mecanic maritim (studii superioare)"
"531","214425","Ofiter electrician maritim (studii superioare)"
"532","214426","Capitan secund"
"533","214427","Ofiter de punte/mecanic/electrician maritim aspirant"
"534","214428","Capitan port (studii superioare)"
"535","2145","Ingineri mecanici"
"536","214501","Inginer mecanic"
"537","214502","Subinginer mecanic"
"538","214503","Inginer electromecanic miner"
"539","214504","Inginer material rulant cale ferata"
"540","214505","Inginer mecanica agricola"
"541","214506","Inginer aeronave"
"542","214507","Inginer nave"
"543","214508","Inginer masini unelte"
"544","214509","Inginer mecanica fina"
"545","214510","Inginer masini termice"
"546","214511","Inginer masinii hidraulice si pneumatice"
"547","214512","Inginer autovehicule rutiere"
"548","214513","Inginer mecanic utilaj tehnologic chimic"
"549","214514","Inginer mecanic utilaj tehnologic petrolier"
"550","214515","Inginer mecanic utilaj tehnologic masini agricole"
"551","214516","Inginer mecanic utilaj tehnologic textil"
"552","214517","Inginer mecanic utilaj tehnologic pentru constructii"
"553","214518","Inginer mecanic utilaj tehnologic pentru prelucrare la cald"
"554","214519","Inginer mecanic masini instalatii miniere"
"555","214520","Subinginer mecanic tehnologia constructiilor de masini"
"556","214521","Subinginer mecanic utilajul si tehnica sudurii"
"557","214522","Subinginer mecanic mecanica fina"
"558","214523","Subinginer mecanic material rulant de cale ferata"
"559","214524","Subinginer mecanic mecanica agricola"
"560","214525","Subinginer mecanic utilaj tehnologic pentru chimie"
"561","214526","Subinginer mecanic utilaje pentru constructii"
"562","214527","Subinginer mecanic avioane si motoare de aviatie"
"563","214528","Subinginer mecanic constructii corp de nava"
"564","214529","Subinginer mecanic instalatii navale de bord"
"565","214530","Subinginer mecanic automobile"
"566","214531","Subinginer mecanic utilaje pentru industria lemnului"
"567","214532","Subinginer mecanic utilaje pentru materiale de constructie"
"568","214533","Consilier inginer mecanic"
"569","214534","Expert inginer mecanic"
"570","214536","Referent de specialitate inginer mecanic"
"571","214537","Proiectant inginer aeronave"
"572","214538","Proiectant inginer mecanic"
"573","214540","Inginer pilot de incercare"
"574","214541","Subinginer proiectant mecanic"
"575","2146","Ingineri petrochimisti si in chimia industriala"
"576","214601","Inginer petrochimist"
"577","214602","Subinginer petrochimist"
"578","214603","Proiectant inginer chimist"
"579","214604","Consilier inginer chimist"
"580","214605","Expert inginer chimist"
"581","214606","Inspector de specialitate inginer chimist"
"582","214607","Referent de specialitate inginer chimist"
"583","214608","Consilier inginer petrochimist"
"584","214609","Expert inginer petrochimist"
"585","214610","Inspector de specialitate inginer petrochimist"
"586","214611","Referent de specialitate petrochimist"
"587","2147","Ingineri mineri, petrolisti si metalurgisti"
"588","214701","Inginer metalurgie extractiva"
"589","214702","Inginer miner"
"590","214703","Subinginer metalurgist"
"591","214704","Subinginer miner"
"592","214705","Inginer preparator minier"
"593","214706","Consilier inginer metalurg"
"594","214707","Expert inginer metalurg"
"595","214708","Inspector de specialitate inginer metalurg"
"596","214709","Referent de specialitate inginer metalurg"
"597","214710","Consilier inginer minier"
"598","214711","Expert inginer miner"
"599","214712","Inspector de specialitate inginer miner"
"600","214713","Referent de specialitate inginer miner"
"601","214714","Inginer prelucrari metalurgice"
"602","214715","Inginer metalurgie neferoasa"
"603","214716","Inginer petrolist"
"604","214717","Subinginer petrolist"
"605","214718","Consilier inginer petrolist"
"606","214719","Expert inginer petrolist"
"607","214720","Referent de specialitate inginer petrolist"
"608","214721","Proiectant inginer petrolist"
"609","214722","Inginer tehnolog metalurg"
"610","214723","Proiectant inginer metalurg"
"611","214724","Proiectant inginer in minerit"
"612","214725","Inginer mineralurg"
"613","2148","Ingineri geodezi, cartografi si topografi"
"614","214801","Cartograf"
"615","214802","Inginer geodez"
"616","214803","Subinginer geodez"
"617","214804","Inginer topograf"
"618","214805","Inginer topograf miner"
"619","214806","Proiectant inginer geodez"
"620","2149","Arhitecti, ingineri si asimilati neclasificati in grupele de  baza anterioare"
"621","215","INGINERI IN INDUSTRIA TEXTILA-PIELARIE SI INDUSTRIA ALIMENTARA"
"622","2151","Ingineri in industria textila si pielarie"
"623","215101","Inginer confectii piele si inlocuitori"
"624","215102","Inginer textile, pielarie"
